,stopwords
0,아
1,휴
2,아이구
3,아이쿠
4,아이고
5,어
6,나
7,우리
8,저희
9,따라
10,의해
11,을
12,를
13,에
14,의
15,가
16,으로
17,로
18,에게
19,뿐이다
20,의거하여
21,근거하여
22,입각하여
23,기준으로
24,예하면
25,예를 들면
26,예를 들자면
27,저
28,소인
29,소생
30,지말고
31,하지마
32,하지마라
33,다른
34,물론
35,또한
36,그리고
37,비길수 없다
38,해서는 안된다
39,뿐만 아니라
40,만이 아니다
41,만은 아니다
42,막론하고
43,관계없이
44,그치지 않다
45,그러나
46,그런데
47,하지만
48,든간에
49,논하지 않다
50,따지지 않다
51,설사
52,비록
53,더라도
54,아니면
55,만 못하다
56,하는 편이 낫다
57,불문하고
58,향하여
59,향해서
60,향하다
61,쪽으로
62,틈타
63,이용하여
64,타다
65,오르다
66,제외하고
67,이 외에
68,이 밖에
69,하여야
70,비로소
71,한다면 몰라도
72,외에도
73,이곳
74,여기
75,부터
76,기점으로
77,따라서
78,할 생각이다
79,하려고하다
80,이리하여
81,그리하여
82,그렇게 함으로써
83,일때
84,할때
85,앞에서
86,중에서
87,보는데서
88,으로써
89,로써
90,까지
91,해야한다
92,일것이다
93,반드시
94,할줄알다
95,할수있다
96,할수있어
97,임에 틀림없다
98,한다면
99,등
100,등등
101,제
102,겨우
103,단지
104,다만
105,할뿐
106,딩동
107,댕그
108,대해서
109,대하여
110,대하면
111,훨씬
112,얼마나
113,얼마만큼
114,얼마큼
115,남짓
116,여
117,얼마간
118,약간
119,다소
120,좀
121,조금
122,다수
123,몇
124,얼마
125,지만
126,하물며
127,그렇지만
128,이외에도
129,대해 말하자면
130,다음에
131,반대로
132,반대로 말하자면
133,이와 반대로
134,바꾸어서 말하면
135,바꾸어서 한다면
136,만약
137,그렇지않으면
138,까악
139,툭
140,딱
141,삐걱거리다
142,보드득
143,비걱거리다
144,꽈당
145,응당
146,에 가서
147,각
148,각각
149,여러분
150,각종
151,각자
152,제각기
153,하도록하다
154,와
155,과
156,그러므로
157,그래서
158,고로
159,한 까닭에
160,하기 때문에
161,거니와
162,이지만
163,관하여
164,관한
165,과연
166,실로
167,아니나다를가
168,생각한대로
169,진짜로
170,한적이있다
171,하곤하였다
172,하
173,하하
174,허허
175,아하
176,거바
177,오
178,왜
179,어째서
180,무엇때문에
181,어찌
182,하겠는가
183,무슨
184,어디
185,어느곳
186,더군다나
187,더욱이는
188,어느때
189,언제
190,야
191,이봐
192,어이
193,여보시오
194,흐흐
195,흥
196,헉헉
197,헐떡헐떡
198,영차
199,여차
200,어기여차
201,끙끙
202,아야
203,앗
204,콸콸
205,졸졸
206,좍좍
207,뚝뚝
208,주룩주룩
209,솨
210,우르르
211,그래도
212,또
213,바꾸어말하면
214,바꾸어말하자면
215,혹은
216,혹시
217,답다
218,및
219,그에 따르는
220,때가 되어
221,즉
222,지든지
223,설령
224,가령
225,하더라도
226,할지라도
227,일지라도
228,거의
229,하마터면
230,인젠
231,이젠
232,된바에야
233,된이상
234,만큼
235,그위에
236,게다가
237,점에서 보아
238,비추어 보아
239,고려하면
240,하게될것이다
241,비교적
242,보다더
243,비하면
244,시키다
245,하게하다
246,할만하다
247,의해서
248,연이서
249,이어서
250,잇따라
251,뒤따라
252,뒤이어
253,결국
254,의지하여
255,기대여
256,통하여
257,자마자
258,더욱더
259,불구하고
260,얼마든지
261,마음대로
262,주저하지 않고
263,곧
264,즉시
265,바로
266,당장
267,하자마자
268,밖에 안된다
269,하면된다
270,그래
271,그렇지
272,요컨대
273,다시 말하자면
274,바꿔 말하면
275,구체적으로
276,말하자면
277,시작하여
278,시초에
279,이상
280,허
281,헉
282,허걱
283,바와같이
284,해도좋다
285,해도된다
286,더구나
287,와르르
288,팍
289,퍽
290,펄렁
291,동안
292,이래
293,하고있었다
294,이었다
295,에서
296,로부터
297,했어요
298,해요
299,함께
300,같이
301,더불어
302,마저
303,마저도
304,양자
305,모두
306,습니다
307,가까스로
308,즈음하여
309,다른 방면으로
310,해봐요
311,습니까
312,말할것도 없고
313,무릎쓰고
314,개의치않고
315,하는것만 못하다
316,하는것이 낫다
317,매
318,매번
319,들
320,모
321,어느것
322,어느
323,갖고말하자면
324,어느쪽
325,어느해
326,어느 년도
327,라 해도
328,언젠가
329,어떤것
330,저기
331,저쪽
332,저것
333,그때
334,그럼
335,그러면
336,요만한걸
337,저것만큼
338,그저
339,이르기까지
340,할 줄 안다
341,할 힘이 있다
342,너
343,너희
344,당신
345,설마
346,차라리
347,할지언정
348,할망정
349,구토하다
350,게우다
351,토하다
352,메쓰겁다
353,옆사람
354,퉤
355,쳇
356,힘입어
357,그
358,다음
359,버금
360,두번째로
361,기타
362,첫번째로
363,나머지는
364,그중에서
365,견지에서
366,형식으로 쓰여
367,입장에서
368,위해서
369,의해되다
370,하도록시키다
371,뿐만아니라
372,전후
373,전자
374,앞의것
375,잠시
376,잠깐
377,하면서
378,그러한즉
379,그런즉
380,남들
381,아무거나
382,어찌하든지
383,같다
384,비슷하다
385,예컨대
386,이럴정도로
387,어떻게
388,만일
389,위에서 서술한바와같이
390,인 듯하다
391,하지 않는다면
392,만약에
393,무엇
394,어떤
395,아래윗
396,조차
397,한데
398,그럼에도 불구하고
399,여전히
400,심지어
401,까지도
402,조차도
403,하지 않도록
404,않기 위하여
405,때
406,시각
407,무렵
408,시간
409,어때
410,어떠한
411,하여금
412,네
413,예
414,우선
415,누구
416,누가 알겠는가
417,아무도
418,줄은모른다
419,줄은 몰랏다
420,하는 김에
421,겸사겸사
422,하는바
423,그런 까닭에
424,한 이유는
425,그러니
426,그러니까
427,때문에
428,그들
429,너희들
430,타인
431,것
432,것들
433,위하여
434,공동으로
435,동시에
436,하기 위하여
437,어찌하여
438,붕붕
439,윙윙
440,엉엉
441,휘익
442,오호
443,어쨋든
444,놀라다
445,상대적으로 말하자면
446,마치
447,아니라면
448,쉿
449,그렇지 않으면
450,그렇지 않다면
451,안 그러면
452,아니었다면
453,하든지
454,이라면
455,좋아
456,알았어
457,하는것도
458,그만이다
459,어쩔수 없다
460,하나
461,일
462,일반적으로
463,일단
464,한켠으로는
465,오자마자
466,이렇게되면
467,이와같다면
468,전부
469,한마디
470,한항목
471,근거로
472,하기에
473,아울러
474,않기 위해서
475,이 되다
476,로 인하여
477,까닭으로
478,이유만으로
479,이로 인하여
480,이 때문에
481,알 수 있다
482,결론을 낼 수 있다
483,으로 인하여
484,있다
485,관계가 있다
486,관련이 있다
487,연관되다
488,어떤것들
489,에 대해
490,여부
491,하기보다는
492,하느니
493,하면 할수록
494,운운
495,이러이러하다
496,하구나
497,하도다
498,다시말하면
499,다음으로
500,에 있다
501,에 달려 있다
502,우리들
503,오히려
504,하기는한데
505,어떻해
506,어찌됏어
507,본대로
508,자
509,이
510,이쪽
511,이것
512,이번
513,이렇게말하자면
514,이런
515,이러한
516,이와 같은
517,요만큼
518,요만한 것
519,얼마 안 되는 것
520,이만큼
521,이 정도의
522,이렇게 많은 것
523,이와 같다
524,이때
525,이렇구나
526,것과 같이
527,끼익
528,삐걱
529,따위
530,와 같은 사람들
531,부류의 사람들
532,왜냐하면
533,중의하나
534,오직
535,오로지
536,에 한하다
537,하기만 하면
538,도착하다
539,까지 미치다
540,도달하다
541,정도에 이르다
542,할 지경이다
543,결과에 이르다
544,관해서는
545,하고 있다
546,한 후
547,혼자
548,자기
549,자기집
550,자신
551,우에 종합한것과같이
552,총적으로 보면
553,총적으로 말하면
554,총적으로
555,대로 하다
556,으로서
557,참
558,할 따름이다
559,쿵
560,탕탕
561,쾅쾅
562,둥둥
563,봐
564,봐라
565,아이야
566,아니
567,와아
568,응
569,아이
570,참나
571,년
572,월
573,령
574,영
575,삼
576,사
577,육
578,륙
579,칠
580,팔
581,구
582,이천육
583,이천칠
584,이천팔
585,이천구
586,둘
587,셋
588,넷
589,다섯
590,여섯
591,일곱
592,여덟
593,아홉
594,수업
595,교수
596,시험
597,강의
598,과제
599,수
600,거
601,안
602,말
603,학점
604,문제
605,공부
606,내용
607,생각
608,정말
609,게
610,학생
611,번
612,그냥
613,중간
614,진짜
615,점수
616,정도
617,성적
618,사람
619,분
620,학기
621,설명
622,과목
623,함
624,듯
625,때문
626,심
627,매우
628,부분
629,점
630,강
631,중
632,건
633,전
634,책
635,더
636,주심
637,임
638,걸
639,개
640,꼭
641,알
642,대해
643,풀
644,내
645,두
646,명
647,해
